token,text,easting,southing,kind,signed,access,industry,city,country,show,checked,remark,ref
wy_gillette,Gillette,,,city,,,,gillette,US-WY,no,2025-02,,
wy_tetonsth,Grand Teton National Park,-58397,-33802,nature,all,yes,no,,US-WY,yes,2025-02,,
wy_greybull,Greybull,,,town,all,yes,no,,US-WY,yes,2025-02,,
,Greybull Museum of Flight,,,historic,all,yes,no,,US-WY,no,2025-02,name ends '... and Aerial Firefighting'--a bit unwieldy,
,Greybull Rest Area,-48811,-35294,parking,all,yes,no,,US-WY,no,2025-02,,
,Hell's Half Acre,-45826,-26089,nature,all,yes,no,,US-WY,yes,2025-02,,
wy_hiland,Hiland,,,hamlet,all,yes,no,,US-WY,yes,2025-02,,
wy_hoback,Hoback Junction,,,town,most,yes,no,,US-WY,yes,2025-02,,
,Ice Slough,-48238,-23304,historic,some,yes,no,,US-WY,no,2025-02,,
,Independence Rock,-46109,-22079,historic,all,yes,no,,US-WY,no,2025-02,,
wy_jackson,Jackson,,,city,,,,jackson,US-WY,no,2025-02,,
wy_kaycee,Kaycee,-42104,-29011,town,all,no,no,,US-WY,yes,2025-02,,
,Kaycee Rest Area,-42420,-29559,parking,all,yes,no,,US-WY,no,2025-02,,
wy_kemmerer,Kemmerer,-60292,-21094,town,all,no,no,,US-WY,yes,2025-02,,
wy_lakejct,Lake Junction,,,junction,remote,yes,no,,US-WY,yes,2025-02,,
wy_lander,Lander,,,town,all,yes,no,,US-WY,yes,2025-02,,
wy_laramie,Laramie,,,city,,,,laramie,US-WY,no,2025-02,,
,Lincoln Monument,-38726,-15725,historic,all,yes,no,,US-WY,no,2025-02,,
wy_litmerica,Little America,-57206,-19335,town,all,yes,yes,rock_springs,US-WY,yes,2025-02,,
wy_lovell,Lovell,,,town,all,yes,no,,US-WY,yes,2025-02,,
wy_lus,Lusk,,,town,all,yes,no,,US-WY,yes,2025-02,,
,Madison Junction,-59397,-38469,junction,some,yes,no,,US-WY,yes,2025-02,,
wy_medicine,Medicine Bow,-42752,-20388,town,all,yes,yes,laramie,US-WY,yes,2025-02,,
wy_moorcroft,Moorcroft,-34317,-32055,town,all,yes,no,,US-WY,yes,2025-02,,
wy_moranjct,Moran Junction,,,junction,all,yes,no,,US-WY,yes,2025-02,,
wy_muddygap,Muddy Gap Junction,,,junction,all,yes,no,,US-WY,yes,2025-02,,
,National Museum of Wildlife Art,-58428,-31595,historic,all,no,no,,US-WY,no,2025-02,,
wy_orin,Orin,,,town,all,no,no,,US-WY,yes,2025-02,,
,Orin Junction Rest Area,-37511,-22852,parking,most,yes,no,,US-WY,no,2025-02,,
,Pahaska Tepee,-54993,-37525,historic,all,yes,no,,US-WY,no,2025-02,,
,Picnic Ground Wind River Lake,-55583,-33215,parking,all,yes,no,,US-WY,no,2025-02,,
wy_powderriv,Powder River,,,town,all,yes,no,,US-WY,yes,2025-02,,
wy_rawlins,Rawlins,,,city,,,,rawlins,US-WY,no,2025-02,,
wy_reliance,Reliance,-53518,-21023,town,all,no,no,,US-WY,yes,2025-02,,
wy_riverton,Riverton,,,city,,,,riverton,US-WY,no,2025-02,,
wy_rockriver,Rock River,,,town,all,yes,no,,US-WY,yes,2025-02,,
wy_rocksp,Rock Springs,,,city,,,,rock_springs,US-WY,no,2025-02,,
,Salt River Pass,-60490,-25232,pass,some,yes,no,,US-WY,yes,2025-02,7630ft,
,Sand Springs,-56280,-25676,historic,some,yes,no,,US-WY,no,2025-02,,
wy_sheridan,Sheridan,,,city,,,,sheridan,US-WY,no,2025-02,,
wy_shoshoni,Shoshoni,,,town,all,yes,no,,US-WY,yes,2025-02,,
,Sinclair,-45077,-19680,town,some,yes,yes,rawlins,US-WY,yes,2025-02,,
,Snake River Picnic Area,-58389,-36819,parking,all,yes,no,,US-WY,no,2025-02,,
,South Bighorn County Airport,-48558,-35525,airport,some,no,no,,US-WY,no,2025-02,,
,South Pass,-52792,-23592,pass,some,yes,no,,US-WY,yes,2025-02,,
,South Pass Rest Area,-53154,-23579,parking,some,yes,no,,US-WY,no,2025-02,,
,Sweetwater Valley,-49463,-23591,parking,some,yes,no,,US-WY,no,2025-02,name uncertain,
wy_thermo,Thermopolis,,,town,most,yes,no,,US-WY,yes,2025-02,,
,West Thumb,-58356,-37237,nature,most,no,no,,US-WY,yes,2025-02,,
wy_wheatland,Wheatland,,,town,most,no,no,,US-WY,yes,2025-02,,
,Wind River Canyon,-49270,-30212,nature,some,yes,no,,US-WY,yes,2025-02,,
wy_wright,Wright,-38450,-29148,town,all,no,no,,US-WY,yes,2025-02,,
,Wyoming Welcome Center,-37410,-13235,parking,most,yes,no,,US-WY,no,2025-02,,
wy_yellowsth,Yellowstone National Park,-58854,-37767,nature,all,yes,yes,jackson,US-WY,yes,2025-02,ST drop-off,
wy_us14xalt,,,,unnamed,,,,,US-WY,no,2025-02,Burgess Jct--only signed in Lovell,
